PROVINSI,TAHUN,APS 13-15,APS 16-18,APS 19-24,TPT - Februari,TPT - Agustus,TPAK - Februari,TPAK - Agustus,Garis Kemiskinan - Maret (Rp),Garis Kemiskinan - September (Rp),Jumlah Penduduk Miskin - Maret (ribu),Jumlah Penduduk Miskin - September (ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September,Indeks Pembangunan Manusia,Rata-Rata Lama Sekolah Penduduk Umur 15 Tahun ke Atas Menurut Provinsi,Harapan Lama Sekolah (Tahun)
SUMATERA UTARA,2021,96.99,78.66,27.05,6.01,6.33,69.39,69.1,525756,648336,1343.86,1110.92,9.01,7.19,73.84,9.88,13.27
SUMATERA BARAT,2021,96.63,84.07,36.41,6.67,6.52,68.41,67.72,568703,714991,370.67,315.43,6.63,5.42,74.56,9.46,14.09
RIAU,2021,95.66,77.81,28.79,4.96,4.42,65.81,65.03,565937,702620,500.81,473.04,7.12,6.36,73.89,9.52,13.28
JAMBI,2021,96.39,72.5,24.14,4.76,5.09,67.3,67.17,506355,658100,293.86,272.7,8.09,7.26,72.62,9.03,13.04
SUMATERA SELATAN,2021,94.85,71.53,18.81,5.17,4.98,69.95,68.77,457455,564462,1113.76,948.84,12.84,10.51,71.83,8.78,12.54
BENGKULU,2021,97.49,79.75,30.46,3.72,3.65,71.74,69.75,548934,672816,306.0,261.15,15.22,12.52,73.16,9.26,13.67
LAMPUNG,2021,95.58,71.72,21.17,4.54,4.69,71.73,69.35,471439,599018,1083.93,939.3,12.62,10.62,71.25,8.56,12.73
KEP. BANGKA BELITUNG,2021,93.17,68.15,18.02,5.04,5.03,67.99,65.88,752203,917673,72.71,78.58,4.9,5.08,72.96,8.54,12.17
KEP. RIAU,2021,98.85,84.4,19.83,10.12,9.91,66.39,68.27,642425,807602,144.46,124.96,6.12,4.78,77.87,10.38,12.98
DKI JAKARTA,2021,98.68,72.32,24.92,8.51,8.5,65.12,62.63,697638,846085,501.92,449.07,4.72,4.14,82.25,11.2,13.07
JAWA BARAT,2021,95.09,67.8,23.51,8.92,9.82,64.83,64.95,427402,535509,4195.34,3668.35,8.4,7.08,72.96,9.03,12.61
JAWA TENGAH,2021,96.84,70.79,23.55,5.96,5.95,69.38,69.58,409193,521093,4109.75,3396.34,11.79,9.58,72.17,8.26,12.77
DI YOGYAKARTA,2021,99.43,89.63,51.41,4.28,4.56,72.81,73.52,482855,613370,506.45,430.47,12.8,10.4,80.22,10.04,15.64
JAWA TIMUR,2021,97.76,74.14,26.27,5.17,5.74,69.75,70.0,429133,547751,4572.73,3893.82,11.4,9.56,73.48,8.37,13.36
BANTEN,2021,96.77,68.94,21.59,9.01,8.98,64.28,63.79,530363,667403,867.23,777.49,6.66,5.7,74.68,9.29,13.02
BALI,2021,98.22,83.96,28.95,5.42,5.37,73.71,73.54,452221,580306,201.97,176.21,4.53,3.8,76.69,9.45,13.4
NUSA TENGGARA BARAT,2021,98.34,77.49,26.22,3.97,3.01,71.32,70.57,423505,540339,746.66,658.6,14.14,11.91,70.86,8.13,13.9
NUSA TENGGARA TIMUR,2021,95.32,75.77,30.54,3.38,3.77,73.29,73.78,415116,533944,1169.31,1107.94,20.99,19.02,67.02,8.2,13.2
KALIMANTAN BARAT,2021,93.14,69.38,24.57,5.73,5.82,70.38,68.45,483454,611320,367.89,333.99,7.15,6.25,68.99,8.0,12.65
KALIMANTAN TENGAH,2021,95.21,66.7,24.47,4.25,4.53,69.44,68.67,506982,641524,140.04,149.24,5.16,5.26,72.81,9.03,12.74
KALIMANTAN SELATAN,2021,93.5,69.31,24.7,4.33,4.95,69.08,69.26,519150,644107,208.11,180.2,4.83,4.02,73.45,8.74,12.81
KALIMANTAN TIMUR,2021,98.9,82.01,29.86,6.81,6.83,67.46,65.49,689035,853997,241.77,211.88,6.54,5.51,76.6,10.09,13.81
KALIMANTAN UTARA,2021,96.51,76.5,25.02,4.67,4.58,66.17,66.24,710994,876375,52.86,41.11,7.36,5.38,71.57,9.4,12.94
SULAWESI UTARA,2021,95.41,73.86,23.67,7.28,7.06,63.28,62.15,410805,511710,196.35,173.3,7.77,6.7,74.03,9.83,12.94
SULAWESI TENGAH,2021,93.32,76.32,28.22,3.73,3.75,68.93,68.73,496872,608687,404.44,358.33,13.0,11.04,70.54,9.18,13.23
SULAWESI SELATAN,2021,93.55,71.21,35.08,5.79,5.72,65.36,64.73,372491,467991,784.98,711.77,8.78,7.77,73.38,8.95,13.52
SULAWESI TENGGARA,2021,95.06,75.02,31.97,4.22,3.92,70.76,70.09,378589,473343,318.7,305.27,11.66,10.63,71.82,9.52,13.68
GORONTALO,2021,92.05,71.3,31.66,3.41,3.01,67.37,65.94,389827,487578,186.29,170.03,15.61,13.87,69.82,8.32,13.11
SULAWESI BARAT,2021,90.12,71.22,23.8,3.28,3.13,71.71,70.27,364251,460283,157.19,155.91,11.29,10.71,68.64,8.39,12.86
MALUKU,2021,97.65,79.68,39.03,6.73,6.93,64.4,65.75,587730,739818,321.81,293.99,17.87,15.78,71.55,10.25,13.97
MALUKU UTARA,2021,97.0,77.01,31.23,5.06,4.71,64.31,64.7,489375,639337,87.16,79.69,6.89,6.03,69.56,9.51,13.68
PAPUA BARAT,2021,96.85,81.21,30.92,6.18,5.84,68.11,70.34,631418,816613,219.07,108.28,21.84,21.09,66.11,10.03,13.13
PAPUA BARAT DAYA,2021,96.85,81.21,30.92,6.18,5.84,68.11,70.34,631418,791570,219.07,96.81,21.84,16.95,66.11,10.03,13.13
PAPUA,2021,80.02,63.98,22.9,3.77,3.33,73.47,78.29,591959,708811,920.44,161.07,26.86,18.09,61.4,7.05,11.11
PAPUA SELATAN,2021,80.02,63.98,22.9,3.77,3.33,73.47,78.29,591959,708811,920.44,161.07,26.86,19.35,61.4,7.05,11.11
PAPUA TENGAH,2021,80.02,63.98,22.9,3.77,3.33,73.47,78.29,591959,708811,920.44,161.07,26.86,27.6,61.4,7.05,11.11
PAPUA PEGUNUNGAN,2021,80.02,63.98,22.9,3.77,3.33,73.47,78.29,591959,708811,920.44,161.07,26.86,29.66,61.4,7.05,11.11
ACEH,2022,97.96,83.1,31.72,5.97,6.17,64.15,63.5,579227,665855,806.82,718.96,14.64,12.64,74.11,9.77,14.37
SUMATERA UTARA,2022,96.78,78.66,26.6,5.47,6.16,70.45,69.53,561004,648336,1268.19,1110.92,8.42,7.19,74.51,9.88,13.31
SUMATERA BARAT,2022,96.52,83.71,35.41,6.17,6.28,68.0,69.3,610941,714991,335.21,315.43,5.92,5.42,75.16,9.46,14.1
RIAU,2022,95.72,77.32,28.65,4.4,4.37,65.98,63.86,605912,702620,485.03,473.04,6.78,6.36,74.45,9.52,13.29
JAMBI,2022,96.2,72.53,23.35,4.7,4.59,68.86,67.84,545870,658100,279.37,272.7,7.62,7.26,73.11,9.03,13.05
SUMATERA SELATAN,2022,95.06,70.93,18.61,4.74,4.63,69.33,69.31,485069,564462,1044.69,948.84,11.9,10.51,72.48,8.78,12.55
BENGKULU,2022,97.73,79.31,29.42,3.39,3.59,71.49,69.81,590754,672816,297.23,261.15,14.62,12.52,73.68,9.26,13.68
LAMPUNG,2022,95.63,71.14,20.72,4.31,4.52,72.51,70.06,514039,599018,1002.41,939.3,11.57,10.62,71.79,8.56,12.74
KEP. BANGKA BELITUNG,2022,93.0,68.42,17.68,4.18,4.77,70.16,67.38,801437,917673,66.78,78.58,4.45,5.08,73.5,8.54,12.18
KEP. RIAU,2022,99.01,84.54,19.5,8.02,8.23,66.48,68.94,684070,807602,151.68,124.96,6.24,4.78,78.48,10.38,12.99
DKI JAKARTA,2022,97.95,72.1,24.89,8.0,7.18,62.27,63.08,738955,846085,502.04,449.07,4.69,4.14,82.77,11.2,13.08
JAWA BARAT,2022,95.27,68.66,23.99,8.35,8.31,66.31,66.15,452580,535509,4070.98,3668.35,8.06,7.08,73.63,9.03,12.62
JAWA TENGAH,2022,96.77,70.82,23.76,5.75,5.57,72.04,70.84,438833,521093,3831.44,3396.34,10.93,9.58,72.8,8.26,12.81
DI YOGYAKARTA,2022,99.01,89.95,50.43,3.73,4.06,74.68,72.6,521673,613370,454.76,430.47,11.34,10.4,80.65,10.04,15.65
JAWA TIMUR,2022,97.64,73.4,26.21,4.81,5.49,70.99,71.23,460909,547751,4181.29,3893.82,10.38,9.56,74.05,8.37,13.37
BANTEN,2022,96.39,69.22,22.14,8.53,8.09,65.08,64.72,570368,667403,814.02,777.49,6.16,5.7,75.25,9.29,13.05
BALI,2022,97.85,83.84,30.18,4.84,4.8,77.14,76.86,485022,580306,205.69,176.21,4.57,3.8,77.4,9.45,13.48
NUSA TENGGARA BARAT,2022,97.74,77.43,25.64,3.92,2.89,70.25,70.93,459826,540339,731.94,658.6,13.68,11.91,71.65,8.13,13.96
NUSA TENGGARA TIMUR,2022,94.83,75.55,29.36,3.3,3.54,73.66,75.23,460823,533944,1131.62,1107.94,20.05,19.02,67.63,8.2,13.21
KALIMANTAN BARAT,2022,92.64,68.72,24.5,4.86,5.11,69.74,68.97,520660,611320,350.25,333.99,6.73,6.25,69.71,8.0,12.66
KALIMANTAN TENGAH,2022,94.61,66.32,24.29,4.2,4.26,66.94,67.23,548816,641524,145.1,149.24,5.28,5.26,73.17,9.03,12.75
KALIMANTAN SELATAN,2022,94.01,69.88,24.52,4.2,4.74,69.64,67.55,553073,644107,195.7,180.2,4.49,4.02,74.0,8.74,12.82
KALIMANTAN TIMUR,2022,98.75,81.43,29.33,6.77,5.71,66.22,64.73,728208,853997,236.25,211.88,6.31,5.51,77.36,10.09,13.84
KALIMANTAN UTARA,2022,97.03,76.5,25.62,4.62,4.33,64.52,67.62,772914,876375,49.46,41.11,6.77,5.38,72.21,9.4,13.06
SULAWESI UTARA,2022,94.86,74.33,23.43,6.51,6.61,61.97,63.08,427016,511710,185.14,173.3,7.28,6.7,74.52,9.83,12.95
SULAWESI TENGAH,2022,93.02,75.84,27.04,3.67,3.0,70.86,69.99,530251,608687,388.36,358.33,12.33,11.04,71.01,9.18,13.32
SULAWESI SELATAN,2022,93.2,70.81,35.07,5.75,4.51,65.85,66.18,399755,467991,777.44,711.77,8.63,7.77,73.96,8.95,13.53
SULAWESI TENGGARA,2022,94.8,74.53,31.81,3.86,3.36,66.31,68.82,404137,473343,309.79,305.27,11.17,10.63,72.38,9.52,13.69
GORONTALO,2022,91.83,71.68,30.06,3.25,2.58,67.78,68.91,411906,487578,185.44,170.03,15.42,13.87,70.62,8.32,13.12
SULAWESI BARAT,2022,89.39,70.85,23.43,3.11,2.34,68.9,73.0,405187,460283,165.72,155.91,11.75,10.71,69.19,8.39,12.87
MALUKU,2022,97.69,79.03,40.15,6.44,6.88,63.08,65.46,631326,739818,290.57,293.99,15.97,15.78,72.04,10.25,14.0
MALUKU UTARA,2022,97.59,77.7,30.67,4.98,3.98,66.71,64.88,514383,639337,79.88,79.69,6.23,6.03,70.26,9.51,13.73
PAPUA BARAT,2022,97.37,80.56,30.69,5.78,5.37,69.59,68.55,665604,816613,218.78,108.28,21.33,21.09,66.72,10.03,13.21
PAPUA BARAT DAYA,2022,97.37,80.56,30.69,5.78,5.37,69.59,68.55,665604,791570,218.78,96.81,21.33,16.95,66.72,10.03,13.21
PAPUA,2022,81.66,65.93,23.58,3.6,2.83,80.23,77.75,629175,708811,922.12,161.07,26.56,18.09,62.16,7.05,11.14
PAPUA SELATAN,2022,81.66,65.93,23.58,3.6,2.83,80.23,77.75,629175,708811,922.12,161.07,26.56,19.35,62.16,7.05,11.14
PAPUA TENGAH,2022,81.66,65.93,23.58,3.6,2.83,80.23,77.75,629175,708811,922.12,161.07,26.56,27.6,62.16,7.05,11.14
PAPUA PEGUNUNGAN,2022,81.66,65.93,23.58,3.6,2.83,80.23,77.75,629175,708811,922.12,161.07,26.56,29.66,62.16,7.05,11.14
ACEH,2023,97.72,83.41,33.1,5.75,6.03,65.12,64.77,627534,665855,806.75,718.96,14.45,12.64,74.7,9.89,14.38
SUMATERA UTARA,2023,96.76,79.25,28.61,5.24,5.89,70.6,71.06,602999,648336,1239.71,1110.92,8.15,7.19,75.13,10.07,13.48
SUMATERA BARAT,2023,96.79,84.33,38.08,5.9,5.94,69.96,69.61,667925,714991,340.37,315.43,5.95,5.42,75.64,9.59,14.11
RIAU,2023,95.89,78.15,30.07,4.25,4.23,65.18,64.45,658611,702620,485.66,473.04,6.68,6.36,74.95,9.6,13.3
JAMBI,2023,96.01,72.46,23.98,4.5,4.53,67.88,68.75,599688,658100,280.68,272.7,7.58,7.26,73.73,9.16,13.13
SUMATERA SELATAN,2023,95.27,71.71,19.79,4.53,4.11,69.73,70.72,520754,564462,1045.68,948.84,11.78,10.51,73.18,8.9,12.63
BENGKULU,2023,97.91,79.57,30.74,3.21,3.42,72.72,70.91,637142,672816,288.46,261.15,14.04,12.52,74.3,9.35,13.74
LAMPUNG,2023,95.93,71.74,21.66,4.18,4.23,72.07,70.04,559011,599018,970.67,939.3,11.11,10.62,72.48,8.72,12.77
KEP. BANGKA BELITUNG,2023,93.2,69.53,17.59,3.89,4.56,70.33,68.34,874204,917673,68.69,78.58,4.52,5.08,74.09,8.66,12.31
KEP. RIAU,2023,99.07,84.97,20.51,7.61,6.8,67.29,68.68,742526,807602,142.5,124.96,5.69,4.78,79.08,10.52,13.05
DKI JAKARTA,2023,98.17,72.5,26.52,7.57,6.53,63.07,65.21,792515,846085,477.83,449.07,4.44,4.14,83.55,11.42,13.33
JAWA BARAT,2023,95.75,68.58,24.72,7.89,7.44,66.75,66.49,495229,535509,3888.6,3668.35,7.62,7.08,74.24,9.16,12.68
JAWA TENGAH,2023,97.08,70.87,24.59,5.24,5.13,72.33,71.72,477580,521093,3791.5,3396.34,10.77,9.58,73.39,8.44,12.85
DI YOGYAKARTA,2023,98.88,91.17,51.6,3.58,3.69,73.43,74.08,573022,613370,448.47,430.47,11.04,10.4,81.09,10.16,15.66
JAWA TIMUR,2023,97.64,74.07,26.53,4.33,4.88,71.5,72.56,507286,547751,4188.81,3893.82,10.35,9.56,74.65,8.53,13.38
BANTEN,2023,96.65,69.64,23.72,7.97,7.52,65.94,64.44,618721,667403,826.13,777.49,6.17,5.7,75.77,9.48,13.09
BALI,2023,97.95,84.73,30.92,3.73,2.69,77.19,77.08,529643,580306,193.78,176.21,4.25,3.8,78.01,9.74,13.58
NUSA TENGGARA BARAT,2023,97.95,77.46,26.42,3.73,2.8,71.16,73.31,498996,540339,751.23,658.6,13.85,11.91,72.37,8.39,13.97
NUSA TENGGARA TIMUR,2023,94.89,75.93,30.68,3.1,3.14,74.51,75.72,507203,533944,1141.11,1107.94,19.96,19.02,68.4,8.31,13.22
KALIMANTAN BARAT,2023,92.92,69.25,25.08,4.52,5.05,68.45,69.42,563288,611320,353.35,333.99,6.71,6.25,70.47,8.17,12.67
KALIMANTAN TENGAH,2023,95.21,66.32,23.27,3.84,4.1,68.76,67.18,596184,641524,142.17,149.24,5.11,5.26,73.73,9.07,12.76
KALIMANTAN SELATAN,2023,94.12,69.95,27.18,3.95,4.31,69.53,69.76,604266,644107,188.93,180.2,4.29,4.02,74.66,8.95,12.86
KALIMANTAN TIMUR,2023,98.71,81.5,32.33,6.37,5.31,65.66,65.57,790186,853997,231.07,211.88,6.11,5.51,78.2,10.17,14.02
KALIMANTAN UTARA,2023,96.96,77.03,27.63,4.1,4.01,67.03,70.35,817876,876375,47.97,41.11,6.45,5.38,72.88,9.53,13.2
SULAWESI UTARA,2023,95.0,74.55,23.57,6.19,6.1,63.31,64.09,463432,511710,189.0,173.3,7.38,6.7,75.04,9.94,12.96
SULAWESI TENGAH,2023,93.13,76.29,27.58,3.49,2.95,70.19,69.85,568248,608687,395.66,358.33,12.41,11.04,71.66,9.22,13.33
SULAWESI SELATAN,2023,93.22,71.0,34.47,5.26,4.33,64.37,65.66,436025,467991,788.85,711.77,8.7,7.77,74.6,9.12,13.54
SULAWESI TENGGARA,2023,95.0,74.6,31.73,3.66,3.15,67.55,70.07,443980,473343,321.53,305.27,11.43,10.63,72.94,9.62,13.7
GORONTALO,2023,91.85,71.7,33.2,3.07,3.06,70.59,70.79,442194,487578,183.71,170.03,15.15,13.87,71.25,8.48,13.16
SULAWESI BARAT,2023,89.47,71.57,23.98,3.04,2.27,67.62,71.05,433131,460283,164.14,155.91,11.49,10.71,69.8,8.48,12.88
MALUKU,2023,97.97,79.9,37.41,6.08,6.31,63.82,63.6,684020,739818,301.61,293.99,16.42,15.78,72.75,10.38,14.08
MALUKU UTARA,2023,97.51,78.38,28.78,4.6,4.31,66.52,67.77,564733,639337,83.8,79.69,6.46,6.03,70.98,9.61,13.74
PAPUA BARAT,2023,97.42,80.58,31.15,5.53,5.38,69.36,67.24,728619,816613,214.98,108.28,20.49,21.09,67.47,10.14,13.34
PAPUA BARAT DAYA,2023,97.42,80.58,31.15,5.53,5.38,69.36,67.24,728619,791570,214.98,96.81,20.49,16.95,67.47,10.14,13.34
PAPUA,2023,80.91,64.15,23.89,3.49,2.67,76.79,77.2,686469,708811,915.15,161.07,26.03,18.09,63.01,7.34,11.15
PAPUA SELATAN,2023,80.91,64.15,23.89,3.49,2.67,76.79,77.2,686469,708811,915.15,161.07,26.03,19.35,63.01,7.34,11.15
PAPUA TENGAH,2023,80.91,64.15,23.89,3.49,2.67,76.79,77.2,686469,708811,915.15,161.07,26.03,27.6,63.01,7.34,11.15
PAPUA PEGUNUNGAN,2023,80.91,64.15,23.89,3.49,2.67,76.79,77.2,686469,708811,915.15,161.07,26.03,29.66,63.01,7.34,11.15
ACEH,2024,97.72,83.41,33.1,5.75,6.03,65.12,64.77,661227,665855,804.53,718.96,14.23,12.64,74.7,9.95,14.39
SUMATERA UTARA,2024,96.76,79.25,28.61,5.24,5.89,70.6,71.06,642423,648336,1228.01,1110.92,7.99,7.19,75.13,10.18,13.49
SUMATERA BARAT,2024,96.79,84.33,38.08,5.9,5.94,69.96,69.61,708416,714991,345.73,315.43,5.97,5.42,75.64,9.72,14.3
RIAU,2024,95.89,78.15,30.07,4.25,4.23,65.18,64.45,697296,702620,492.25,473.04,6.67,6.36,74.95,9.69,13.42
JAMBI,2024,96.01,72.46,23.98,4.5,4.53,67.88,68.75,650115,658100,265.42,272.7,7.1,7.26,73.73,9.26,13.14
SUMATERA SELATAN,2024,95.27,71.71,19.79,4.53,4.11,69.73,70.72,554197,564462,984.24,948.84,10.97,10.51,73.18,8.98,12.64
BENGKULU,2024,97.91,79.57,30.74,3.21,3.42,72.72,70.91,671095,672816,281.36,261.15,13.56,12.52,74.3,9.4,13.75
LAMPUNG,2024,95.93,71.74,21.66,4.18,4.23,72.07,70.04,586551,599018,941.23,939.3,10.69,10.62,72.48,8.8,12.78
KEP. BANGKA BELITUNG,2024,93.2,69.53,17.59,3.89,4.56,70.33,68.34,908397,917673,69.95,78.58,4.55,5.08,74.09,8.78,12.49
KEP. RIAU,2024,99.07,84.97,20.51,7.61,6.8,67.29,68.68,787211,807602,138.3,124.96,5.37,4.78,79.08,10.65,13.27
DKI JAKARTA,2024,98.17,72.5,26.52,7.57,6.53,63.07,65.21,825288,846085,464.93,449.07,4.3,4.14,83.55,11.49,13.51
JAWA BARAT,2024,95.75,68.58,24.72,7.89,7.44,66.75,66.49,524052,535509,3848.67,3668.35,7.46,7.08,74.24,9.24,12.8
JAWA TENGAH,2024,97.08,70.87,24.59,5.24,5.13,72.33,71.72,507001,521093,3704.33,3396.34,10.47,9.58,73.39,8.47,12.86
DI YOGYAKARTA,2024,98.88,91.17,51.6,3.58,3.69,73.43,74.08,602437,613370,445.55,430.47,10.83,10.4,81.09,10.23,15.7
JAWA TIMUR,2024,97.64,74.07,26.53,4.33,4.88,71.5,72.56,536122,547751,3982.69,3893.82,9.79,9.56,74.65,8.69,13.43
BANTEN,2024,96.65,69.64,23.72,7.97,7.52,65.94,64.44,654213,667403,791.61,777.49,5.84,5.7,75.77,9.55,13.1
BALI,2024,97.95,84.73,30.92,3.73,2.69,77.19,77.08,568510,580306,184.43,176.21,4.0,3.8,78.01,9.87,13.62
NUSA TENGGARA BARAT,2024,97.95,77.46,26.42,3.73,2.8,71.16,73.31,534703,540339,709.01,658.6,12.91,11.91,72.37,8.5,13.98
