provinsi,tahun,aps_1315,aps_1618,aps_1924,tpt_feb,tpt_agt,tpak_feb,tpak_agt,gk_maret,gk_sept,miskin_maret,miskin_sept,pct_miskin_maret,pct_miskin_sept,ipm,rls,hls,umap_1,umap_2,cluster,cluster_confidence,cluster_id,cluster_label
ACEH,2024,97.72,83.41,33.1,5.75,6.03,65.12,64.77,661227,665855,804.53,718.96,14.23,12.64,74.7,9.95,14.39,6.429034,13.329812,1,1.0,1,Cluster B
SUMATERA UTARA,2024,96.76,79.25,28.61,5.24,5.89,70.6,71.06,642423,648336,1228.01,1110.92,7.99,7.19,75.13,10.18,13.49,5.4398565,13.873268,1,1.0,1,Cluster B
SUMATERA BARAT,2024,96.79,84.33,38.08,5.9,5.94,69.96,69.61,708416,714991,345.73,315.43,5.97,5.42,75.64,9.72,14.3,6.0379505,13.55312,1,1.0,1,Cluster B
RIAU,2024,95.89,78.15,30.07,4.25,4.23,65.18,64.45,697296,702620,492.25,473.04,6.67,6.36,74.95,9.69,13.42,4.9349856,13.449156,1,1.0,1,Cluster B
JAMBI,2024,96.01,72.46,23.98,4.5,4.53,67.88,68.75,650115,658100,265.42,272.7,7.1,7.26,73.73,9.26,13.14,4.380322,14.608817,1,1.0,1,Cluster B
SUMATERA SELATAN,2024,95.27,71.71,19.79,4.53,4.11,69.73,70.72,554197,564462,984.24,948.84,10.97,10.51,73.18,8.98,12.64,4.270283,15.696409,1,1.0,1,Cluster B
BENGKULU,2024,97.91,79.57,30.74,3.21,3.42,72.72,70.91,671095,672816,281.36,261.15,13.56,12.52,74.3,9.4,13.75,3.893209,17.067429,0,0.87767637,0,Cluster A
LAMPUNG,2024,95.93,71.74,21.66,4.18,4.23,72.07,70.04,586551,599018,941.23,939.3,10.69,10.62,72.48,8.8,12.78,4.438954,16.135689,1,0.9998417,1,Cluster B
KEP. BANGKA BELITUNG,2024,93.2,69.53,17.59,3.89,4.56,70.33,68.34,908397,917673,69.95,78.58,4.55,5.08,74.09,8.78,12.49,4.15834,13.881708,1,1.0,1,Cluster B
KEP. RIAU,2024,99.07,84.97,20.51,7.61,6.8,67.29,68.68,787211,807602,138.3,124.96,5.37,4.78,79.08,10.65,13.27,6.3601055,12.120569,1,1.0,1,Cluster B
DKI JAKARTA,2024,98.17,72.5,26.52,7.57,6.53,63.07,65.21,825288,846085,464.93,449.07,4.3,4.14,83.55,11.49,13.51,6.530867,11.731164,1,1.0,1,Cluster B
JAWA BARAT,2024,95.75,68.58,24.72,7.89,7.44,66.75,66.49,524052,535509,3848.67,3668.35,7.46,7.08,74.24,9.24,12.8,6.473023,11.185188,1,1.0,1,Cluster B
JAWA TENGAH,2024,97.08,70.87,24.59,5.24,5.13,72.33,71.72,507001,521093,3704.33,3396.34,10.47,9.58,73.39,8.47,12.86,4.598077,15.958551,1,0.9999995,1,Cluster B
DI YOGYAKARTA,2024,98.88,91.17,51.6,3.58,3.69,73.43,74.08,602437,613370,445.55,430.47,10.83,10.4,81.09,10.23,15.7,6.10282,13.9026165,1,1.0,1,Cluster B
JAWA TIMUR,2024,97.64,74.07,26.53,4.33,4.88,71.5,72.56,536122,547751,3982.69,3893.82,9.79,9.56,74.65,8.69,13.43,4.45719,16.466654,1,0.8156101,1,Cluster B
BANTEN,2024,96.65,69.64,23.72,7.97,7.52,65.94,64.44,654213,667403,791.61,777.49,5.84,5.7,75.77,9.55,13.1,6.5884957,11.421901,1,1.0,1,Cluster B
BALI,2024,97.95,84.73,30.92,3.73,2.69,77.19,77.08,568510,580306,184.43,176.21,4.0,3.8,78.01,9.87,13.62,4.088688,17.025192,0,0.9012422,0,Cluster A
NUSA TENGGARA BARAT,2024,97.95,77.46,26.42,3.73,2.8,71.16,73.31,534703,540339,709.01,658.6,12.91,11.91,72.37,8.5,13.98,3.6668139,16.820997,0,0.9284356,0,Cluster A
