provinsi,tahun,ipm_forecast,cluster_id,cluster_label
SUMATERA UTARA,2021,73.84,1,Cluster B
SUMATERA BARAT,2021,74.56,1,Cluster B
RIAU,2021,73.89,1,Cluster B
JAMBI,2021,72.62,1,Cluster B
SUMATERA SELATAN,2021,71.83,1,Cluster B
BENGKULU,2021,73.16,0,Cluster A
LAMPUNG,2021,71.25,1,Cluster B
KEP. BANGKA BELITUNG,2021,72.96,1,Cluster B
KEP. RIAU,2021,77.87,1,Cluster B
DKI JAKARTA,2021,82.25,1,Cluster B
JAWA BARAT,2021,72.96,1,Cluster B
JAWA TENGAH,2021,72.17,1,Cluster B
DI YOGYAKARTA,2021,80.22,1,Cluster B
JAWA TIMUR,2021,73.48,1,Cluster B
BANTEN,2021,74.68,1,Cluster B
BALI,2021,76.69,0,Cluster A
NUSA TENGGARA BARAT,2021,70.86,0,Cluster A
NUSA TENGGARA TIMUR,2021,67.02,0,Cluster A
KALIMANTAN BARAT,2021,68.99,1,Cluster B
KALIMANTAN TENGAH,2021,72.81,1,Cluster B
KALIMANTAN SELATAN,2021,73.45,1,Cluster B
KALIMANTAN TIMUR,2021,76.6,1,Cluster B
KALIMANTAN UTARA,2021,71.57,1,Cluster B
SULAWESI UTARA,2021,74.03,1,Cluster B
SULAWESI TENGAH,2021,70.54,0,Cluster A
SULAWESI SELATAN,2021,73.38,1,Cluster B
SULAWESI TENGGARA,2021,71.82,0,Cluster A
GORONTALO,2021,69.82,0,Cluster A
SULAWESI BARAT,2021,68.64,0,Cluster A
MALUKU,2021,71.55,1,Cluster B
MALUKU UTARA,2021,69.56,1,Cluster B
PAPUA BARAT,2021,66.11,1,Cluster B
PAPUA BARAT DAYA,2021,66.11,1,Cluster B
PAPUA,2021,61.4,0,Cluster A
PAPUA SELATAN,2021,61.4,0,Cluster A
PAPUA TENGAH,2021,61.4,0,Cluster A
PAPUA PEGUNUNGAN,2021,61.4,0,Cluster A
ACEH,2022,74.11,1,Cluster B
SUMATERA UTARA,2022,74.51,1,Cluster B
SUMATERA BARAT,2022,75.16,1,Cluster B
RIAU,2022,74.45,1,Cluster B
JAMBI,2022,73.11,1,Cluster B
SUMATERA SELATAN,2022,72.48,1,Cluster B
BENGKULU,2022,73.68,0,Cluster A
LAMPUNG,2022,71.79,1,Cluster B
KEP. BANGKA BELITUNG,2022,73.5,1,Cluster B
KEP. RIAU,2022,78.48,1,Cluster B
DKI JAKARTA,2022,82.77,1,Cluster B
JAWA BARAT,2022,73.63,1,Cluster B
JAWA TENGAH,2022,72.8,1,Cluster B
DI YOGYAKARTA,2022,80.65,1,Cluster B
JAWA TIMUR,2022,74.05,1,Cluster B
BANTEN,2022,75.25,1,Cluster B
BALI,2022,77.4,0,Cluster A
NUSA TENGGARA BARAT,2022,71.65,0,Cluster A
NUSA TENGGARA TIMUR,2022,67.63,0,Cluster A
KALIMANTAN BARAT,2022,69.71,1,Cluster B
KALIMANTAN TENGAH,2022,73.17,1,Cluster B
KALIMANTAN SELATAN,2022,74.0,1,Cluster B
KALIMANTAN TIMUR,2022,77.36,1,Cluster B
KALIMANTAN UTARA,2022,72.21,1,Cluster B
SULAWESI UTARA,2022,74.52,1,Cluster B
SULAWESI TENGAH,2022,71.01,0,Cluster A
SULAWESI SELATAN,2022,73.96,1,Cluster B
SULAWESI TENGGARA,2022,72.38,0,Cluster A
GORONTALO,2022,70.62,0,Cluster A
SULAWESI BARAT,2022,69.19,0,Cluster A
MALUKU,2022,72.04,1,Cluster B
MALUKU UTARA,2022,70.26,1,Cluster B
PAPUA BARAT,2022,66.72,1,Cluster B
PAPUA BARAT DAYA,2022,66.72,1,Cluster B
PAPUA,2022,62.16,0,Cluster A
PAPUA SELATAN,2022,62.16,0,Cluster A
PAPUA TENGAH,2022,62.16,0,Cluster A
PAPUA PEGUNUNGAN,2022,62.16,0,Cluster A
ACEH,2023,74.7,1,Cluster B
SUMATERA UTARA,2023,75.13,1,Cluster B
SUMATERA BARAT,2023,75.64,1,Cluster B
RIAU,2023,74.95,1,Cluster B
JAMBI,2023,73.73,1,Cluster B
SUMATERA SELATAN,2023,73.18,1,Cluster B
BENGKULU,2023,74.3,0,Cluster A
LAMPUNG,2023,72.48,1,Cluster B
KEP. BANGKA BELITUNG,2023,74.09,1,Cluster B
KEP. RIAU,2023,79.08,1,Cluster B
DKI JAKARTA,2023,83.55,1,Cluster B
JAWA BARAT,2023,74.24,1,Cluster B
JAWA TENGAH,2023,73.39,1,Cluster B
DI YOGYAKARTA,2023,81.09,1,Cluster B
JAWA TIMUR,2023,74.65,1,Cluster B
BANTEN,2023,75.77,1,Cluster B
BALI,2023,78.01,0,Cluster A
NUSA TENGGARA BARAT,2023,72.37,0,Cluster A
NUSA TENGGARA TIMUR,2023,68.4,0,Cluster A
KALIMANTAN BARAT,2023,70.47,1,Cluster B
